id,title,provider,time,url,skills,probabilities
21,International Business I,University of New Mexico,7,https://www.coursera.org/learn/international-business,"Analyse market conditions or trends;;Apply knowledge, understanding and respect of culturally significant sites or objects;;Appraise environmental impact of regulations or policies;;Assess risks to business operations;;Develop business or market strategies;;Develop methods of social or economic research;;Develop programs, policies or services that are culturally appropriate;;Direct industrial production activities;;Evaluate applicable laws and regulations to determine impact on organisational activities;;Evaluate civic projects or public policies;;Evaluate the structure, efficiency, activities, and performance of government agencies;;Identify investment opportunities or strategies",
22,Agile Project Management,Google,12,https://www.coursera.org/learn/agile-project-management,"Apply information technology to solve business or other applied problems;;Coach others;;Confer with co-workers or internal stakeholders to coordinate operational activities;;Confer with other staff to resolve design or operational problems;;Confer with others to conduct or arrange operational activities;;Coordinate athletic or sporting events or activities;;Develop detailed project plans;;Develop operating strategies, plans or procedures;;Develop organisational methods or procedures;;Develop technical methods or processes;;Manage operations, research or logistics projects;;Manage project risk;;Provide mentorship and guidance to staff;;Train managerial staff",
23,Leading Diverse Teams & Organizations,University of Michigan,22,https://www.coursera.org/learn/leading-diverse-teams-and-organizations,"Act as an advocate or communicator regarding the cultural, diversity or accessibility needs of others;;Conduct surveys in organisations;;Deliver inclusive and accessible programs, policies or services;;Develop operating strategies, plans or procedures;;Develop organisational methods or procedures;;Develop organisational policies or programs;;Develop procedures to evaluate organisational activities;;Develop programs, policies or services that are culturally appropriate;;Distribute resources to patrons or employees;;Evaluate employee performance;;Gather organisational performance information",
24,Organizational Analysis,Stanford University,25,https://www.coursera.org/learn/organizational-analysis,"Arrange collective bargaining agreements;;Communicate with constituents and keep abreast of the issues affecting them;;Conduct scientific research of organisational behaviour or processes;;Conduct surveys in organisations;;Determine resource needs;;Develop operating strategies, plans or procedures;;Develop organisational goals or objectives;;Develop organisational methods or procedures;;Develop procedures to evaluate organisational activities;;Develop professional relationships or networks;;Develop theories or models of social phenomena;;Explain use of goods or services;;Identify information technology project resource requirements;;Make decisions that balance the perspectives of private citizens, public officials, and party leaders",
25,Behavioral Finance,Duke University,5,https://www.coursera.org/learn/duke-behavioral-finance,Advise others on financial matters;;Analyse financial information;;Analyse financial records to improve budgeting or planning;;Apply mathematical models of financial or business conditions;;Develop financial analysis methods;;Develop financial plans for clients;;Educate clients on financial planning topics;;Explain financial information to customers;;Identify investment opportunities or strategies,
27,Management of Fashion and Luxury Companies,Università Bocconi,12,https://www.coursera.org/learn/mafash,"Analyse business or financial data;;Analyse consumer trends;;Analyse industry trends;;Analyse market conditions or trends;;Conduct market research;;Contact current or potential customers to promote goods or services;;Create marketing materials;;Develop artistic or design concepts for decoration, exhibition, performance or commercial purposes;;Develop business or market strategies;;Develop marketing plans or strategies;;Direct sales, marketing or customer service activities;;Establish business management methods;;Issue documentation or identification to customers or employees",
28,International Leadership and Organizational Behavior,Università Bocconi,16,https://www.coursera.org/learn/organizational-behavior,"Act as an advocate or communicator regarding the cultural, diversity or accessibility needs of others;;Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships;;Confer with co-workers or internal stakeholders to coordinate operational activities;;Deliver culturally appropriate programs, policies or services;;Develop information communication procedures;;Develop professional relationships or networks;;Develop programs, policies or services that are culturally appropriate;;Develop social media materials;;Develop working relationships with others to facilitate program activities;;Maintain a working understanding of the cultural, diversity and accessibility needs of others, and how this applies to the role;;Promote products, activities, or organisations",
29,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",University of Illinois at Urbana-Champaign,36,https://www.coursera.org/learn/federal-taxation-individuals,Analyse data to inform operational decisions or activities;;Analyse laboratory findings;;Analyse operational data;;Audition for roles;;Calculate data to inform organisational operations;;Calculate financial data;;Calculate numerical data for medical activities;;Conduct eligibility or selection interviews;;Conduct opinion surveys or needs assessments;;Develop health assessment methods or programs;;Develop procedures to evaluate organisational activities;;Evaluate employee performance;;Evaluate new technologies or methods;;Perform nutritional or health assessments;;Prepare forms or applications,
30,Private Equity and Venture Capital,Università Bocconi,8,https://www.coursera.org/learn/private-equity,Analyse business or financial data;;Analyse financial information;;Appraise property values;;Assess risks to business operations;;Develop financial or business plans;;Direct financial operations;;Direct fundraising or financing activities;;Identify investment opportunities or strategies,
31,Social Media Management,Meta,12,https://www.coursera.org/learn/social-media-management,"Analyse market research data;;Conduct market research;;Create marketing materials;;Create technology-based learning materials;;Develop content for sales presentations or other materials;;Develop ideas for entertainment programs and features;;Develop marketing plans or strategies;;Develop promotional strategies or plans;;Develop social media materials;;Direct sales, marketing or customer service activities",
32,Corporate Strategy,University of London,10,https://www.coursera.org/learn/corporatestrategy,"Assess risks to business operations;;Determine the value of goods or services;;Develop business or market strategies;;Develop operating strategies, plans or procedures;;Develop organisational goals or objectives;;Develop procedures to evaluate organisational activities;;Evaluate potential of products, technologies or resources;;Identify strategic business investment opportunities;;Manage financial activities of the organisations",
34,Supply Chain Management: A Learning Perspective,Korea Advanced Institute of Science and Technology(KAIST),17,https://www.coursera.org/learn/supply-chain-management,"Analyse risks to minimise losses or damages;;Assess risks to business operations;;Collaborate with others to develop or implement marketing strategies;;Communicate with customers to resolve complaints or ensure satisfaction;;Develop business or market strategies;;Develop marketing plans or strategies;;Develop operating strategies, plans or procedures;;Develop operating strategies, plans or procedures for green or sustainable operations;;Direct quality control activities;;Establish standards for products, processes or procedures;;Maintain inventories of materials, equipment or products;;Maintain inventory records;;Maintain supply or equipment inventories",
35,"AI, Business & the Future of Work",Lund University,11,https://www.coursera.org/learn/ai-business-future-of-work,"Analyse data to inform operational decisions or activities;;Anticipate the organisational implications of machine learning models;;Apply information technology to solve business or other applied problems;;Apply new technologies to improve work processes;;Collaborate with others to resolve information technology issues;;Develop computer or information security policies or procedures;;Develop operating strategies, plans or procedures;;Develop procedures to evaluate organisational activities;;Evaluate effectiveness of staff policies or practices;;Identify opportunities to improve operational efficiency",
37,Stock Valuation with Comparable Companies Analysis,Coursera Project Network,2,https://www.coursera.org/projects/stock-valuation-comparable-companies-analysis,Analyse business or financial data;;Analyse data to determine project feasibility;;Analyse financial information;;Apply mathematical models of financial or business conditions;;Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;;Calculate financial data;;Conduct research to gain information about products or processes;;Develop financial analysis methods;;Prepare research or technical reports,
38,Create a Promotional Video using Canva,Coursera Project Network,2,https://www.coursera.org/projects/create-a-promotional-video-using-canva,Create images or other visual displays;;Create marketing materials;;Determine how best to represent a concept visually;;Develop content for sales presentations or other materials;;Develop ideas for entertainment programs and features;;Develop information communication procedures;;Develop marketing plans or strategies;;Develop promotional materials;;Develop promotional strategies or plans,
39,Creating a Free Business Page with Blogger,Coursera Project Network,2,https://www.coursera.org/projects/free-blogger-business-page,"Advise clients or community groups on health issues;;Analyse market or customer related data;;Analyse market research data;;Analyse website or related online data to track trends or usage;;Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships;;Design websites or applications;;Develop business or market strategies;;Develop marketing plans or strategies;;Develop promotional strategies or plans;;Develop social media materials;;Develop specifications or procedures for website development or maintenance;;Direct sales, marketing or customer service activities;;Perform marketing activities;;Promote products, activities, or organisations",
40,Principles of Management,Johns Hopkins University,15,https://www.coursera.org/learn/principles-of-management,"Advise others on legal or regulatory compliance matters;;Assist clients in handling details of daily life;;Coach others;;Communicate organisational policies and procedures;;Confer with co-workers or internal stakeholders to coordinate operational activities;;Confer with others to conduct or arrange operational activities;;Develop financial or business plans;;Develop information communication procedures;;Develop operating strategies, plans or procedures;;Develop organisational goals or objectives;;Develop procedures to evaluate organisational activities;;Interact with patients to build rapport or provide emotional support;;Make decisions in legal cases;;Manage operations, research or logistics projects;;Provide counsel, comfort or encouragement to individuals or families",
41,Compensation and Benefits,HRCI,12,https://www.coursera.org/learn/compensation-and-benefits,"Administer compensation or benefits programs;;Apply new technologies to improve work processes;;Arrange insurance coverage;;Assess the cost effectiveness of products, projects or services;;Conduct employee training programs;;Develop operating strategies, plans or procedures;;Direct administrative or support services;;Evaluate employee performance;;Evaluate performance of applicants, trainees or employees;;Manage human resources activities",
42,Foundations of Project Management,Google,12,https://www.coursera.org/learn/project-management-foundations,Analyse risks to minimise losses or damages;;Assess risks to business operations;;Confer with co-workers or internal stakeholders to coordinate operational activities;;Coordinate construction project activities;;Coordinate operational activities with external stakeholders;;Coordinate project activities with other staff or departments;;Develop detailed project plans;;Develop guidelines for system implementation;;Develop organisational goals or objectives;;Develop organisational methods or procedures;;Develop organisational policies or programs;;Manage construction activities;;Manage environmental sustainability projects,
44,Learning and Development,HRCI,12,https://www.coursera.org/learn/learning-and-development,"Attend training sessions or events to develop or maintain professional knowledge;;Collaborate with other teaching professionals to develop educational programs;;Conduct employee training programs;;Create technology-based learning materials;;Develop educational or training programs;;Develop exercise or conditioning programs;;Develop instructional materials;;Develop training materials;;Evaluate capabilities or training needs;;Evaluate effectiveness of educational programs;;Evaluate performance of applicants, trainees or employees;;Teach basic living or other adaptive skills to patients or caregivers",
45,Excel for Beginners: Introduction to Spreadsheets,Coursera Project Network,2,https://www.coursera.org/projects/excel-for-beginners-introduction-to-spreadsheets,Analyse financial information;;Analyse financial records to improve efficiency;;Apply machine learning techniques to data;;Apply mathematical models of financial or business conditions;;Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;;Calculate financial data;;Create databases to store electronic data;;Develop business or financial information systems;;Develop data analysis or data management procedures;;Develop procedures for data entry or processing;;Develop procedures for data management;;Develop software applications;;Develop technical or scientific databases,
48,Sports Marketing,Northwestern University,13,https://www.coursera.org/learn/sports-marketing,Communicate situation details to appropriate personnel;;Conduct market research;;Develop business or market strategies;;Develop contingency plans to deal with organisational emergencies;;Develop information communication procedures;;Develop marketing plans or strategies;;Develop promotional strategies or plans;;Implement advertising or marketing initiatives;;Perform marketing activities,
49,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,15,https://www.coursera.org/learn/innovation-through-design,"Coordinate design activities;;Create models of engineering designs or methods;;Create physical models or prototypes;;Design structures or facilities;;Determine design criteria or specifications;;Develop artistic or design concepts for decoration, exhibition, performance or commercial purposes;;Develop business or market strategies;;Develop equipment or component configurations;;Develop ideas for entertainment programs and features;;Develop new or advanced products or production methods;;Evaluate designs or specifications to ensure quality;;Evaluate project designs to determine adequacy or feasibility",
51,Removing Barriers to Change,University of Pennsylvania,5,https://www.coursera.org/learn/removing-barriers-to-change,"Analyse impact of legal or regulatory changes;;Apply fatigue management strategies;;Communicate organisational policies and procedures;;Communicate with constituents and keep abreast of the issues affecting them;;Communicate with management or other staff to resolve problems;;Develop exercise or conditioning programs;;Develop information communication procedures;;Develop operating strategies, plans or procedures;;Develop organisational methods or procedures;;Develop organisational policies or programs;;Evaluate effectiveness of educational programs;;Evaluate effectiveness of staff policies or practices;;Evaluate potential problems in home or work environments of clients;;Evaluate program effectiveness;;Implement organisational process or policy changes",
52,Foundations of Digital Marketing and E-commerce,Google,12,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,Analyse market research data;;Conduct market research;;Coordinate logistics or other business operations;;Create marketing materials;;Develop business or market strategies;;Develop marketing plans or strategies;;Develop promotional materials;;Develop promotional strategies or plans;;Maintain knowledge of business operations;;Manage operations of artistic or entertainment departments or organisations,
53,Introduction to Operations Management,University of Pennsylvania,12,https://www.coursera.org/learn/wharton-operations,"Analyse data to identify or resolve operational problems;;Analyse operational data to evaluate operations, processes or products;;Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;;Develop data analysis or data management procedures;;Develop operating strategies, plans or procedures;;Develop operating strategies, plans or procedures for green or sustainable operations;;Develop organisational methods or procedures;;Evaluate characteristics of equipment or systems;;Evaluate technical data to determine effect on designs or plans;;Identify opportunities to improve operational efficiency;;Maintain food, drink or equipment inventories",
56,Financing and Investing in Infrastructure,Università Bocconi,10,https://www.coursera.org/learn/infrastructure-investing,,
57,Bookkeeping Basics,Intuit,12,https://www.coursera.org/learn/bookkeeping-basics,"Analyse financial records or reports to determine state of operations;;Analyse financial records to improve efficiency;;Conduct financial audits;;Examine financial records;;Examine financial records or processes;;Examine financial records to ensure compliance with policies or regulations;;Gather financial records;;Maintain financial or account records;;Maintain records of sales or other business transactions;;Prepare documentation for contracts, transactions or regulatory compliance;;Prepare financial documents, reports or budgets",
58,Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,28,https://www.coursera.org/learn/auditing-part1-conceptual-foundations,Analyse financial records or reports to determine state of operations;;Analyse risks to minimise losses or damages;;Apply and maintain information security controls as required by policies or risk assessments;;Assess risks to business operations;;Conduct financial audits;;Conduct financial or regulatory audits;;Examine financial records;;Prepare operational reports,
62,Fundamentals of Quantitative Modeling,University of Pennsylvania,12,https://www.coursera.org/learn/wharton-quantitative-modeling,Analyse business or financial data;;Analyse data to identify trends or relationships among variables;;Analyse data to inform operational decisions or activities;;Anticipate the organisational implications of machine learning models;;Apply information technology to solve business or other applied problems;;Apply mathematical models of financial or business conditions;;Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;;Assess risks to business operations;;Calculate data to inform organisational operations;;Calculate financial data;;Determine appropriate methods for data analysis;;Determine the value of goods or services,
63,Financial Statement Analysis,Intuit,12,https://www.coursera.org/learn/financial-statement-analysis,Analyse business or financial data;;Analyse financial information;;Analyse financial records or reports to determine state of operations;;Analyse financial records to improve budgeting or planning;;Apply mathematical models of financial or business conditions;;Assess risks to business operations;;Conduct financial audits;;Discuss account status or activity with customers or patrons;;Implement financial decisions;;Maintain financial or account records;;Maintain records of customer accounts,
64,Introduction to Project Management,IBM,36,https://www.coursera.org/learn/introduction-to-project-management,"Analyse data to assess operational or project effectiveness;;Communicate with customers to resolve complaints or ensure satisfaction;;Confer with co-workers or internal stakeholders to coordinate operational activities;;Develop business relationships;;Develop detailed project plans;;Develop operating strategies, plans or procedures;;Evaluate environmental or sustainability projects;;Evaluate project designs to determine adequacy or feasibility;;Manage environmental sustainability projects;;Manage information technology projects or system activities;;Manage operations, research or logistics projects;;Manage project risk",
66,Getting started with Fiverr for Freelancers,Coursera Project Network,2,https://www.coursera.org/projects/getting-started-fiverr,"Adjust equipment for optimal performance;;Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships;;Collect, process and preserve digital records or evidence in accordance with procedures;;Develop content for sales presentations or other materials;;Develop marketing plans or strategies;;Develop operating strategies, plans or procedures;;Develop professional relationships or networks;;Develop promotional strategies or plans;;Develop social media materials;;Execute sales or other financial transactions;;Identify opportunities to improve operational efficiency;;Implement advertising or marketing initiatives;;Maintain records of sales or other business transactions;;Modify software programs to improve performance;;Resolve operational performance problems",
67,Create an online presence with a free website from WordPress,Coursera Project Network,2,https://www.coursera.org/projects/create-an-online-presence-with-a-free-website-from-wordpress,"Assess database performance;;Design and plan outdoor layouts;;Design layout of art or product exhibits, displays or promotional materials;;Design layouts for print publications;;Design templates or patterns;;Design websites or applications;;Develop specifications or procedures for website development or maintenance;;Modify software programs to improve performance;;Provide basic information to guests, visitors, or clients;;Publish content on digital platforms or social media sites",
68,Create a free online web presence using Blogger,Coursera Project Network,,https://www.coursera.org/projects/create-a-free-online-web-presence-using-blogger,"Create computer-generated graphics or animation;;Create graphical representations of structures, landscapes or aquatic systems;;Create images or other visual displays;;Create technology-based learning materials;;Design layout of art or product exhibits, displays or promotional materials;;Design websites or applications;;Determine how best to represent a concept visually;;Develop computer or information systems;;Develop content for sales presentations or other materials;;Develop social media materials;;Develop software applications;;Manage content of broadcasts or presentations;;Manage operations of artistic or entertainment departments or organisations",
69,Free Trade Agreements and Special Economic Zones,PwC India,,https://www.coursera.org/learn/free-trade-agreements-and-special-economic-zones,"Analyse and understand the local and national implications of proposed legislation;;Analyse business or financial data;;Analyse impact of legal or regulatory changes;;Assess risks to business operations;;Determine the value of goods or services;;Develop computer or information security policies or procedures;;Develop operating strategies, plans or procedures;;Develop safety standards, policies or procedures;;Draft legislation or regulations;;Enforce rules or regulations;;Evaluate characteristics of individuals to determine needs or eligibility;;Examine marketing materials to ensure compliance with policies or regulations;;Explain regulations, policies or procedures;;Supervise engineering or other technical staff",
70,Plan a Successful Freelancing Business,California Institute of the Arts,36,https://www.coursera.org/learn/freelancing-business,,
71,Making Money as a Freelancer,California Institute of the Arts,36,https://www.coursera.org/learn/making-money-freelancing,,
72,Launching Your Freelancing Business,California Institute of the Arts,36,https://www.coursera.org/learn/launching-your-freelancing-business,,
73,Protect and Grow Your Freelancing Business,California Institute of the Arts,36,https://www.coursera.org/learn/protect-and-grow-your-business,,
74,Building Your Freelancing Career Capstone,California Institute of the Arts,,https://www.coursera.org/learn/building-your-freelancing-career,,
75,Create a Free Marketing Calendar with CoSchedule,Coursera Project Network,,https://www.coursera.org/projects/create-free-marketing-calendar-co-schedule,"Assign duties or work schedules to employees;;Communicate project information to others;;Communicate with other construction or mining staff to discuss project details;;Communicate with others to coordinate activities;;Conduct market research;;Coordinate project activities with other staff or departments;;Coordinate recruitment activities;;Coordinate special events or programs;;Develop marketing plans or strategies;;Develop promotional strategies or plans;;Plan conferences, programs or special events;;Plan employee work schedules;;Prepare staff schedules or work assignments",
78,AI For Everyone,DeepLearning.AI,6,https://www.coursera.org/learn/ai-for-everyone,"Analyse data to identify or resolve operational problems;;Analyse data to inform operational decisions or activities;;Anticipate the organisational implications of machine learning models;;Apply information technology to solve business or other applied problems;;Apply machine learning techniques to data;;Collaborate on research activities with scientists or technical specialists;;Collaborate with others in marketing activities;;Design research studies to obtain scientific information;;Develop detailed project plans;;Develop operating strategies, plans or procedures;;Develop organisational goals or objectives;;Manage information technology projects or system activities;;Plan and manage, and analyse costs and benefits of, proposed designs or projects",
87,Project Initiation: Starting a Successful Project,Google,12,https://www.coursera.org/learn/project-initiation-google,Conduct market research;;Conduct opinion surveys or needs assessments;;Conduct surveys in organisations;;Develop detailed project plans;;Document design or development procedures;;Prepare project budgets,
89,Workday Basics Series,Workday,10,https://www.coursera.org/learn/workday-basics-series,"Advise clients on security requirements and design security measures;;Apply new technologies to improve work processes;;Develop computer or information security policies or procedures;;Develop new or advanced products or production methods;;Develop operating strategies, plans or procedures;;Evaluate reports or designs to determine work needs;;Identify security threats and determine counter measures;;Maintain knowledge of business operations;;Oversee business processes;;Prepare activity or work schedules;;Prepare detailed work plans;;Prepare operational reports;;Prepare operational reports or records",
93,Project Planning: Putting It All Together,Google,36,https://www.coursera.org/learn/project-planning-google,"Analyse risks to minimise losses or damages;;Assess risks to business operations;;Communicate organisational information to customers or other stakeholders;;Communicate with constituents and keep abreast of the issues affecting them;;Confer with co-workers or internal stakeholders to coordinate operational activities;;Coordinate resource procurement activities;;Develop detailed project plans;;Develop financial or business plans;;Develop operating strategies, plans or procedures;;Educate clients on financial planning topics;;Implement financial decisions;;Plan and manage, and analyse costs and benefits of, proposed designs or projects",
94,Attract and Engage Customers with Digital Marketing,Google,12,https://www.coursera.org/learn/attract-and-engage-customers,Analyse market or customer related data;;Analyse market research data;;Analyse website or related online data to track trends or usage;;Collect data about customer needs;;Collect information about clients;;Conduct market research;;Create marketing materials;;Deliver promotional presentations to current or prospective customers;;Demonstrate products to consumers;;Develop marketing plans or strategies;;Develop promotional materials;;Develop promotional strategies or plans,
106,OKR Certification: Leadership and Goal Setting,Measure What Matters,23,https://www.coursera.org/learn/okr,,
107,Project Execution: Running the Project,Google,36,https://www.coursera.org/learn/project-execution-google,"Analyse data to assess operational or project effectiveness;;Analyse data to inform operational decisions or activities;;Analyse project data to determine specifications or requirements;;Communicate project information to others;;Communicate with other construction or mining staff to discuss project details;;Confer with other staff to resolve design or operational problems;;Coordinate construction project activities;;Develop data analysis or data management procedures;;Develop detailed project plans;;Develop information communication procedures;;Develop organisational goals or objectives;;Develop procedures for data entry or processing;;Develop working relationships with others to facilitate program activities;;Direct quality control activities;;Evaluate construction projects to determine compliance with external standards or regulations;;Evaluate projects to determine compliance with technical specifications;;Explain project details to the general public;;Identify information technology project resource requirements;;Liaise between departments or other groups to improve function or communication;;Maintain a working understanding of the cultural, diversity and accessibility needs of others, and how this applies to the role;;Manage environmental sustainability projects;;Manage information technology projects or system activities;;Manage project risk;;Provide creative leadership to ensure production has desired effect, mood or style",
116,Fundamentals of Project Planning and Management,University of Virginia,9,https://www.coursera.org/learn/uva-darden-project-management,,
118,Artificial Intelligence in Marketing,University of Virginia,10,https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing,,
