ID,Title,Skills Acquired,Prob Skills Acquired,Skills Required,Prob Skills Required,Money,Hours dedicated,Topics,URL
hanasql2,Using the Optimizer for SQLScript Programming in SAP HANA,,,,,,12,,https://open.sap.com/courses/hanasql2
mlc1,How to Use the Machine Learning Cockpit for SAP Business ByDesign,Business intelligence and data analysis software,0.490,,,,5,,https://open.sap.com/courses/mlc1
sf7-1,Your HR Journey to the Cloud,Perform human resources activities;;Manage human resources activities;;Advise others on human resources topics;;Human resources software;;Conduct employee training programs;;Enterprise resource planning ERP software;;Train staff in organisational or compliance procedures,0.654;;0.602;;0.596;;0.595;;0.508;;0.462;;0.457,,,,12,,https://open.sap.com/courses/sf7-1
sustai1,Building AI and Sustainability Solutions on SAP BTP,"Develop sustainable organisational policies or practices;;Develop operating strategies, plans or procedures for green or sustainable operations;;Develop environmental sustainability plans or projects;;Develop sustainable industrial or development methods;;Manage environmental sustainability projects;;Business intelligence and data analysis software;;Research issues related to the environment or sustainable business practices;;Identify opportunities for green initiatives;;Maintain operational records for green energy processes or other environmentally sustainable activities;;Present sustainable goods or services information to the public;;Evaluate environmental or sustainability projects;;Promote environmental sustainability or conservation initiatives;;Prepare operational budgets for green energy or other green operations",0.593;;0.588;;0.565;;0.532;;0.523;;0.500;;0.495;;0.481;;0.464;;0.458;;0.457;;0.455;;0.454,,,,15,,https://open.sap.com/courses/sustai1
iis2,Integration for the Intelligent Sustainable Enterprise,"Business intelligence and data analysis software;;Direct organisational operations, projects or services;;Enterprise resource planning ERP software;;Enterprise application integration software;;Financial and commodities services software;;Sales and marketing software;;Develop operating strategies, plans or procedures for green or sustainable operations;;Enterprise system management software;;Apply information technology to solve business or other applied problems;;Oversee business processes;;Evaluate training programs, instructors or materials;;Research industrial processes or operations",0.523;;0.505;;0.498;;0.497;;0.491;;0.484;;0.477;;0.473;;0.462;;0.461;;0.456;;0.455,,,,20,,https://open.sap.com/courses/iis2
esg1,Getting Started with ESG Steering and Reporting,"Develop sustainable organisational policies or practices;;Develop environmental sustainability plans or projects;;Develop operating strategies, plans or procedures for green or sustainable operations;;Manage environmental sustainability projects;;Present sustainable goods or services information to the public;;Research issues related to the environment or sustainable business practices;;Identify opportunities for green initiatives;;Promote environmental sustainability or conservation initiatives;;Develop sustainable industrial or development methods;;Evaluate environmental or sustainability projects;;Maintain operational records for green energy processes or other environmentally sustainable activities;;Prepare research or technical reports on environmental issues;;Direct environmental development activities;;Evaluate environmental impact of operational or development activities;;Monitor environmental impacts of production or development activities;;Evaluate green operations or programs for compliance with standards or regulations;;Prepare technical or operational reports;;Develop marketing plans or strategies for environmental initiatives;;Prepare reports related to compliance matters",0.608;;0.593;;0.565;;0.560;;0.549;;0.547;;0.544;;0.538;;0.527;;0.526;;0.517;;0.484;;0.483;;0.482;;0.471;;0.466;;0.455;;0.452;;0.450,,,,12,,https://open.sap.com/courses/esg1
aie1,AI Ethics at SAP,,,,,,16,,https://open.sap.com/courses/aie1
mdi1,SAP Master Data Integration in the Intelligent Enterprise,Enterprise application integration software;;Develop procedures for data management;;Business intelligence and data analysis software;;Develop data analysis or data management procedures,0.514;;0.481;;0.477;;0.450,,,,12,,https://open.sap.com/courses/mdi1
byd11,Localization Toolkit for SAP Business ByDesign,Sales and marketing software;;Business intelligence and data analysis software,0.471;;0.469,,,,16,,https://open.sap.com/courses/byd11
bvis1-11,Be Visual! Sketching Basics for IT Business (Edition Q4/2022),"Prepare drawings or diagrams of goods or services;;Prepare graphics or other visual representations of information;;Create diagrams or blueprints for work pieces or products;;Develop artistic or design concepts for decoration, exhibition or commercial purposes;;Develop diagrams or flow charts of system operation;;Interpret blueprints, specifications or diagrams;;Create schematic drawings for electronics;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Draw detailed or technical illustrations;;Review art or design materials",0.622;;0.546;;0.533;;0.502;;0.495;;0.485;;0.455;;0.451;;0.451;;0.451,,,,1,,https://open.sap.com/courses/bvis1-11
s4cpe1,"Gain Technical Knowledge on SAP S/4HANA Cloud, Private Edition",,,,,,24,,https://open.sap.com/courses/s4cpe1
cmr1,Crisis Management and Resilience,"Develop contingency plans to deal with organisational emergencies;;Maintain contingency plans for disaster recovery;;Intervene in crisis situations to assist clients;;Respond to emergencies to provide assistance;;Direct emergency management activities;;Develop emergency procedures;;Respond to transportation emergencies;;Notify others of emergencies, problems or hazards;;Collaborate with law enforcement or security agencies to respond to incidents;;Advise others on management of emergencies or hazardous situations or materials;;Train others in cyber security issues;;Rescue people from hazardous situations",0.714;;0.626;;0.616;;0.591;;0.577;;0.560;;0.535;;0.507;;0.482;;0.477;;0.473;;0.458,,,,9,,https://open.sap.com/courses/cmr1
iftt1-2-pc,Avoid SAP S/4HANA Project Delays with Third-Party Systems Service Virtualization ,"Direct organisational operations, projects or services",0.505,,,,12,,https://open.sap.com/courses/iftt1-2-pc
recol1-1,Facilitate Remote Collaboration Like a Pro (Repeat),"Confer with peers to accomplish work;;Confer with clients to exchange information;;Confer with clients to determine needs;;Confer with customers or users to assess problems;;Confer with co-workers or internal stakeholders to coordinate operational activities;;Communicate with others to coordinate activities;;Network conferencing software;;Apply new technologies to improve work processes;;Discuss design or technical features of goods or services with technical staff;;Discuss designs or plans with clients;;Train others in computer interface or software use;;Develop content for sales presentations or other materials;;Evaluate training programs, instructors or materials;;Confer with colleagues to formulate positions and strategies pertaining to pending issues",0.520;;0.512;;0.509;;0.501;;0.492;;0.492;;0.491;;0.480;;0.480;;0.477;;0.475;;0.470;;0.455;;0.452,,,,16,,https://open.sap.com/courses/recol1-1
s4h29,New Employee Business Partner Model in SAP S/4HANA,"Enterprise resource planning ERP software;;Human resources software;;Business intelligence and data analysis software;;Materials requirements planning, logistics and supply chain software;;Coordinate logistics or other business operations;;Direct organisational operations, projects or services;;Establish interpersonal business relationships to facilitate work activities;;Manage operations, research or logistics projects;;Develop business relationships",0.525;;0.508;;0.503;;0.502;;0.501;;0.499;;0.497;;0.468;;0.468,,,,12,,https://open.sap.com/courses/s4h29
fg3-2,Introducing SAP Fieldglass Assignment Management (Repeat),,,,,,12,,https://open.sap.com/courses/fg3-2
block1,What Can Blockchain Do for You?,Apply information technology to solve business or other applied problems;;Develop business or financial information systems,0.463;;0.457,,,,12,,https://open.sap.com/courses/block1
sf11-1,SAP SuccessFactors Learning – Get Your Implementation Right! (Repeat),"Evaluate capabilities or training needs;;Conduct employee training programs;;Develop training materials;;Train staff to improve their skills;;Apply new technologies to improve work processes;;Train staff in organisational or compliance procedures;;Train staff members in social services skills;;Evaluate training programs, instructors or materials;;Train others in operational procedures;;Computer based training software;;Train staff members;;Provide mentorship and guidance to staff;;Develop instructional materials;;Evaluate performance of applicants, trainees or employees;;Develop organisational goals or objectives;;Train staff on proper operational procedures;;Human resources software;;Train others on work processes;;Develop educational or training programs;;Train employees in proper work procedures",0.525;;0.511;;0.507;;0.493;;0.484;;0.483;;0.480;;0.480;;0.478;;0.474;;0.473;;0.472;;0.470;;0.466;;0.463;;0.461;;0.455;;0.455;;0.454;;0.454,,,,12,,https://open.sap.com/courses/sf11-1
s4h32,Insights into Selected Logistics Innovations in SAP S/4HANA,"Materials requirements planning, logistics and supply chain software;;Coordinate logistics or other business operations;;Evaluate logistics methods to reduce environmental impact;;Sales and marketing software;;Coordinate resource procurement activities;;Direct organisational operations, projects or services;;Arrange delivery of goods or services;;Financial and commodities services software",0.544;;0.541;;0.484;;0.475;;0.474;;0.462;;0.457;;0.455,,,,32,,https://open.sap.com/courses/s4h32
hana9,Working with Calculation Views in SAP HANA Cloud,Calculate data to inform organisational operations,0.482,,,,16,,https://open.sap.com/courses/hana9
sps5,Adapting the UI in SAP S/4HANA Cloud Using SAP Screen Personas,Enterprise resource planning ERP software;;Create technology-based learning materials;;Web page creation and editing software,0.474;;0.460;;0.452,,,,12,,https://open.sap.com/courses/sps5
rpa7,Intelligent Automation for SAP Business ByDesign and SAP Business One,Industrial control and automation software;;Business intelligence and data analysis software;;Oversee business processes;;Develop procedures for data entry or processing;;Study scripts to determine project requirements;;Develop diagrams or flow charts of system operation;;Enterprise resource planning ERP software;;Program robotic equipment;;Sales and marketing software,0.531;;0.486;;0.481;;0.476;;0.465;;0.462;;0.458;;0.452;;0.452,,,,5,,https://open.sap.com/courses/rpa7
pbl1-1,Build Better Products with a Human-Centered Product Backlog (Repeat),Train customers in the use of products;;Gather customer or product information to determine customer needs;;Develop new or advanced products or production methods;;Identify information technology project resource requirements;;Study scripts to determine project requirements;;Study product information to acquire professional knowledge,0.477;;0.468;;0.464;;0.458;;0.457;;0.450,,,,16,,https://open.sap.com/courses/pbl1-1
dmc1,Digital Manufacturing,"Design industrial processing systems;;Industrial control and automation software;;Research industrial processes or operations;;Program equipment to perform production tasks;;Develop training materials;;Materials requirements planning, logistics and supply chain software;;Operate industrial equipment;;Direct quality control activities;;Direct operational or production activities",0.540;;0.530;;0.514;;0.500;;0.484;;0.473;;0.464;;0.458;;0.453,,,,12,,https://open.sap.com/courses/dmc1
red1-pc,SAP Landscape Automation with Ansible & Red Hat Enterprise Linux,,,,,,12,,https://open.sap.com/courses/red1-pc
pc1,Product Compliance in a Nutshell,"Determine operational compliance with regulations or standards;;Examine marketing materials to ensure compliance with policies or regulations;;Regulatory compliance software;;Establish standards for products, processes or procedures;;Assess compliance with environmental laws;;Prepare regulatory or compliance documentation;;Monitor processes for compliance with standards;;Inspect products or operations to ensure that standards are met;;Coordinate safety or regulatory compliance activities;;Inspect facilities, equipment or supplies to ensure conformance to standards;;Prepare reports related to compliance matters;;Monitor organisational compliance with regulations;;Evaluate green operations or programs for compliance with standards or regulations;;Explain regulations, policies or procedures;;Direct quality control activities;;Review documents or materials for compliance with policies or regulations;;Maintain regulatory or compliance documentation;;Develop safety standards, policies or procedures;;Communicate with clients about products, procedures and policies;;Ensure passenger compliance with vehicle safety, regulations and standards;;Monitor operational activities to ensure compliance with regulations or standard operating procedures;;Evaluate applicable laws and regulations to determine impact on organisational activities;;Compare physical characteristics of materials or products to specifications or standards;;Evaluate projects to determine compliance with technical specifications;;Communicate technical information to suppliers, contractors or regulatory agencies;;Materials requirements planning, logistics and supply chain software;;Study product information to acquire professional knowledge;;Teach safety standards or environmental compliance methods;;Enforce rules or regulations;;Evaluate construction projects to determine compliance with external standards or regulations;;Develop operating strategies, plans or procedures for green or sustainable operations;;Monitor operations to ensure compliance with safety or security policies or regulations;;Establish organisational guidelines or policies;;Train staff in organisational or compliance procedures;;Evaluate staff practices to ensure adherence to regulations;;Research product safety",0.631;;0.610;;0.579;;0.578;;0.566;;0.562;;0.556;;0.554;;0.552;;0.549;;0.548;;0.545;;0.541;;0.534;;0.531;;0.511;;0.506;;0.505;;0.500;;0.498;;0.494;;0.493;;0.489;;0.482;;0.478;;0.477;;0.476;;0.471;;0.470;;0.466;;0.462;;0.462;;0.461;;0.457;;0.457;;0.453,,,,12,,https://open.sap.com/courses/pc1
s4h26-1,Gain Experience with SAP S/4HANA – Logistics (Repeat),"Materials requirements planning, logistics and supply chain software;;Plan production or operational procedures or sequences;;Coordinate logistics or other business operations;;Direct organisational operations, projects or services",0.518;;0.474;;0.472;;0.455,,,,36,,https://open.sap.com/courses/s4h26-1
s4h25-1,Gain Experience with a System Conversion to SAP S/4HANA (Repeat),Enterprise resource planning ERP software;;Business intelligence and data analysis software,0.479;;0.469,,,,50,,https://open.sap.com/courses/s4h25-1
suse3-1-pc,Need SAP HANA Running 24/7? Challenge Accepted! (Repeat),,,,,,24,,https://open.sap.com/courses/suse3-1-pc
s4h24-1,Gain Experience with Business Partner for SAP S/4HANA Conversion (Repeat),Business intelligence and data analysis software;;Develop procedures for data management;;Develop guidelines for system implementation,0.462;;0.452;;0.450,,,,45,,https://open.sap.com/courses/s4h24-1
concur1-1,Intelligent Spend Management Using SAP Concur (Repeat),"Manage budgets for personal services operations;;Manage organisational or project budgets;;Manage budgets for appropriate resource allocation;;Analyse financial records to improve budgeting or planning;;Manage organisational or program finances;;Implement financial decisions;;Evaluate training programs, instructors or materials;;Prepare operational budgets;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Analyse budgetary, accounting or business data;;Prepare financial documents, reports or budgets;;Accounting software;;Coordinate resource procurement activities;;Manage financial activities of the organisations;;Estimate costs of goods, services or materials;;Sales and marketing software;;Assess the cost effectiveness of products, projects or services;;Direct organisational operations, projects or services;;Approve expenditures;;Prepare project budgets;;Estimate costs of goods or services;;Apply information technology to solve business or other applied problems;;Analyse financial records to improve efficiency",0.584;;0.549;;0.545;;0.536;;0.531;;0.531;;0.523;;0.520;;0.511;;0.507;;0.498;;0.494;;0.484;;0.481;;0.477;;0.460;;0.460;;0.460;;0.459;;0.459;;0.454;;0.453;;0.450,,,,8,,https://open.sap.com/courses/concur1-1
s4h28,Leveraging SAP S/4HANA Cloud with SAP Central Business Configuration,Configuration management software;;Enterprise system management software;;Identify information technology project resource requirements;;Develop content for sales presentations or other materials;;Enterprise resource planning ERP software;;Business intelligence and data analysis software,0.506;;0.473;;0.469;;0.468;;0.461;;0.460,,,,30,,https://open.sap.com/courses/s4h28
remote2,Tips and Tricks for Recording Yourself at Home,Set up still or video cameras or related equipment;;Perform for recordings;;Review audio or video recordings;;Operate audio recording equipment;;Demonstrate activity techniques or equipment use;;Create technology-based learning materials,0.555;;0.545;;0.509;;0.469;;0.468;;0.450,,,,16,,https://open.sap.com/courses/remote2
python1,Python for Beginners,Write computer programming code;;Teach online courses;;Software development and programming languages;;Computer based training software;;Develop instructional materials,0.548;;0.548;;0.546;;0.458;;0.452,,,,42,,https://open.sap.com/courses/python1
sac5,SAP Analytics Cloud – Become an Augmented BI Expert,Business intelligence and data analysis software;;Prepare analytical reports;;Analyse data to inform operational decisions or activities;;Sales and marketing software,0.559;;0.489;;0.475;;0.461,,,,20,,https://open.sap.com/courses/sac5
hana8,Ride the SAP HANA Wave: Fundamentals and Insights into Cloud Databases,Maintain data in information systems or databases;;Business intelligence and data analysis software,0.477;;0.467,,,,6,,https://open.sap.com/courses/hana8
gcts1,DevOps for ABAP with gCTS in SAP S/4HANA,,,,,,30,,https://open.sap.com/courses/gcts1
sustainablesoftware2022-hpi,Sustainable Software Engineering,"Design energy efficient equipment or systems;;Develop environmental sustainability plans or projects;;Software development and programming languages;;Create technology-based learning materials;;Determine methods to minimise environmental impact of activities;;Develop operating strategies, plans or procedures for green or sustainable operations",0.505;;0.485;;0.473;;0.456;;0.452;;0.451,,,,6,,https://open.sap.com/courses/sustainablesoftware2022-hpi
suse2-1-pc,Say Goodbye to Downtime with SUSE Linux Enterprise Server (Repeat),"Develop training materials;;Evaluate training programs, instructors or materials",0.510;;0.458,,,,30,,https://open.sap.com/courses/suse2-1-pc
fg4,Manage Your External Workforce Program with SAP Fieldglass,"Conduct employee training programs;;Represent the organisation in external relations;;Coordinate operational activities with external stakeholders;;Direct organisational operations, projects or services;;Evaluate capabilities or training needs;;Develop collaborative relationships between departments or with external organisations;;Develop organisational policies or programs;;Develop plans for programs or services;;Develop educational or training programs;;Coordinate activities with suppliers, contractors, clients, or other departments;;Collaborate with other professionals to develop education or assistance programs;;Communicate organisational information to customers or other stakeholders;;Develop working relationships with others to facilitate program activities;;Evaluate training programs, instructors or materials",0.539;;0.516;;0.509;;0.496;;0.493;;0.486;;0.483;;0.479;;0.473;;0.463;;0.462;;0.460;;0.452;;0.450,,,,12,,https://open.sap.com/courses/fg4
malware2022-hpi,Cyberthreats by Malware,"Identify security threats and determine counter measures;;Maintain security;;Train others in cyber security issues;;Transaction security and virus protection software;;Implement security measures for computer or information systems;;Conduct legal cyberattack simulations by designing and utilising hacking tools;;Analyse security of systems, network or data;;Monitor the security of digital information",0.545;;0.543;;0.540;;0.486;;0.472;;0.466;;0.462;;0.455,,,,10,,https://open.sap.com/courses/malware2022-hpi
fg2-2,Getting Started with SAP Fieldglass (Update Q1/2022),,,,,,16,,https://open.sap.com/courses/fg2-2
sth2,Enable Users in Multilingual Business with SAP Translation Hub,Translate information,0.578,,,,15,,https://open.sap.com/courses/sth2
fg1-3,This Is SAP Fieldglass (Update Q1/2022),"Coordinate resource procurement activities;;Direct organisational operations, projects or services",0.467;;0.462,,,,12,,https://open.sap.com/courses/fg1-3
identities2022-hpi,Digital Identities,"Train others in cyber security issues;;Maintain security;;Implement security measures for computer or information systems;;Monitor the security of digital information;;Identify security threats and determine counter measures;;Analyse security of systems, network or data;;Develop computer or information security policies or procedures",0.547;;0.541;;0.533;;0.531;;0.525;;0.504;;0.477,,,,10,,https://open.sap.com/courses/identities2022-hpi
sf10,"Hire to Retire – Strategy, Implementation, and Operations",Human resources software;;Perform human resources activities;;Enterprise resource planning ERP software;;Manage human resources activities;;Apply new technologies to improve work processes;;Advise others on human resources topics;;Payroll and time accounting software;;Business intelligence and data analysis software;;Coordinate recruitment activities;;Conduct employee training programs,0.585;;0.548;;0.510;;0.501;;0.496;;0.480;;0.468;;0.457;;0.457;;0.451,,,,9,,https://open.sap.com/courses/sf10
confidentialcommunication2022-hpi,Confidential Communication in the Internet,"Train others in cyber security issues;;Monitor the security of digital information;;Analyse security of systems, network or data;;Conduct legal cyberattack simulations by designing and utilising hacking tools;;Develop models of information or communications systems;;Messaging and communications software;;Identify security threats and determine counter measures;;Implement security measures for computer or information systems;;Coordinate with external parties to exchange information",0.551;;0.526;;0.486;;0.477;;0.475;;0.473;;0.470;;0.469;;0.454,,,,10,,https://open.sap.com/courses/confidentialcommunication2022-hpi
sac4,Planning with SAP Analytics Cloud – Advanced Topics,"Calculate data to inform organisational operations;;Business intelligence and data analysis software;;Plan production or operational procedures or sequences;;Plan work operations;;Analyse data to inform operational decisions or activities;;Plan social sciences research;;Plan work procedures;;Develop operating strategies, plans or procedures;;Enterprise resource planning ERP software;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Plan environmental research;;Develop plans for programs or services;;Develop detailed project plans;;Collect data about customer needs;;Analyse project data to determine specifications or requirements;;Develop training materials;;Develop data analysis or data management procedures;;Study product information to acquire professional knowledge;;Sales and marketing software;;Cost modelling software",0.589;;0.574;;0.553;;0.528;;0.524;;0.522;;0.519;;0.513;;0.504;;0.491;;0.488;;0.475;;0.471;;0.466;;0.459;;0.455;;0.455;;0.453;;0.451;;0.450,,,,16,,https://open.sap.com/courses/sac4
btpma1,Building Applications on SAP BTP with Microsoft Services,Calculate data to inform organisational operations;;Analyse data to inform operational decisions or activities;;Develop data analysis or data management procedures;;Develop procedures for data management;;Collect data about customer needs;;Apply information technology to solve business or other applied problems;;Business intelligence and data analysis software;;Enterprise resource planning ERP software;;Develop procedures for data entry or processing;;Record research or operational data,0.534;;0.533;;0.532;;0.506;;0.498;;0.494;;0.487;;0.461;;0.460;;0.456,,,,16,,https://open.sap.com/courses/btpma1
rpa6,What's New with Bot Building in SAP Intelligent RPA 2.0,Program robotic equipment;;Industrial control and automation software;;Business intelligence and data analysis software,0.473;;0.456;;0.454,,,,16,,https://open.sap.com/courses/rpa6
ce1,Helping Business Thrive in a Circular Economy,"Develop operating strategies, plans or procedures for green or sustainable operations;;Research issues related to the environment or sustainable business practices;;Identify opportunities for green initiatives;;Present sustainable goods or services information to the public;;Develop environmental sustainability plans or projects;;Promote environmental sustainability or conservation initiatives;;Develop sustainable organisational policies or practices;;Direct environmental development activities;;Develop sustainable industrial or development methods;;Service green vehicles;;Evaluate logistics methods to reduce environmental impact;;Create technology-based learning materials;;Apply information technology to solve business or other applied problems;;Evaluate environmental or sustainability projects;;Evaluate green operations or programs for compliance with standards or regulations;;Advise others regarding green practices or environmental concerns;;Plan experiential learning activities;;Research design or application of green technologies",0.547;;0.545;;0.545;;0.522;;0.509;;0.503;;0.496;;0.491;;0.488;;0.486;;0.481;;0.480;;0.477;;0.463;;0.453;;0.452;;0.452;;0.450,,,,20,,https://open.sap.com/courses/ce1
btp2,Improve Business Processes with SAP Workflow Management,Oversee business processes;;Model operational processes;;Research industrial processes or operations;;Apply new technologies to improve work processes;;Process library materials;;Content workflow software;;Develop procedures for data entry or processing;;Develop diagrams or flow charts of system operation;;Implement design or process improvements;;Implement organisational process or policy changes;;Plan production or operational procedures or sequences;;Develop procedures for data management,0.619;;0.530;;0.505;;0.493;;0.493;;0.492;;0.489;;0.467;;0.464;;0.462;;0.457;;0.454,,,,18,,https://open.sap.com/courses/btp2
solman2-1,Agile Project Delivery with Focused Build for SAP Solution Manager (Update Q3/2021) ,"Project management software;;Study scripts to determine project requirements;;Analyse project data to determine specifications or requirements;;Develop detailed project plans;;Direct design or development activities;;Develop equipment or component configurations;;Materials requirements planning, logistics and supply chain software;;Sales and marketing software;;Construct patterns, templates or other work aids;;Plan and manage, and analyse costs and benefits of, proposed designs or projects",0.517;;0.498;;0.487;;0.482;;0.480;;0.470;;0.464;;0.456;;0.452;;0.451,,,,24,,https://open.sap.com/courses/solman2-1
